"game_id","home","away","home_score","away_score"
"400839773","North Carolina","Duke",73,74
"400839776","Duke","North Carolina",72,76
"400915431","Duke","North Carolina",86,78
"400915479","North Carolina","Duke",90,83
"400946137","North Carolina","Duke",83,93
"400986251","North Carolina","Duke",82,78
"400986293","Duke","North Carolina",74,64
"401019997","Duke","North Carolina",69,74
"401082689","Duke","North Carolina",72,88
"401082694","North Carolina","Duke",79,70
"401120705","North Carolina","Duke",73,74
"401168364","North Carolina","Duke",96,98
"401168372","Duke","North Carolina",89,76
"401260262","Duke","North Carolina",87,91
"401260322","North Carolina","Duke",91,73
"401369957","North Carolina","Duke",67,87
"401369869","Duke","North Carolina",81,94
"401408635","Duke","North Carolina",77,81
"401488473","Duke","North Carolina",63,57
"401488526","North Carolina","Duke",57,62
"401604165","North Carolina","Duke",93,84
"401604232","Duke","North Carolina",79,84
